Subject,age,sex,O,C,E,A,N,n_obs,n_futures
41613103035.0,48.0,female,5.0,7.0,3.5,5.0,4.0,18,4.0
42313155231.0,27.0,female,3.5,4.5,3.5,4.0,4.0,18,0.0
42313155546.0,50.0,male,5.0,5.0,5.0,4.5,2.5,18,7.0
42313161845.0,23.0,male,3.5,6.0,1.0,5.0,2.0,18,3.0
42313161934.0,22.0,female,6.5,6.5,1.0,5.0,5.0,18,1.0
42313161948.0,23.0,female,6.0,5.0,6.0,6.5,2.0,17,9.0
42313162124.0,38.0,female,3.5,4.5,1.5,6.5,2.5,14,1.0
42313162619.0,51.0,male,7.0,7.0,4.5,6.5,1.0,18,6.0
42313163350.0,19.0,female,7.0,4.5,6.0,5.5,4.0,18,5.0
42313164012.0,26.0,female,7.0,4.5,4.5,6.5,2.0,11,4.0
42313164935.0,43.0,male,7.0,7.0,5.5,5.0,1.0,15,0.0
42313165547.0,28.0,female,4.0,4.0,2.0,3.0,2.5,18,6.0
42313170946.0,21.0,female,6.5,7.0,3.0,6.5,3.0,16,5.0
42313180932.0,27.0,male,6.5,7.0,3.5,7.0,2.0,17,2.0
42313181311.0,23.0,male,4.5,4.0,4.5,3.5,4.0,18,1.0
42313184728.0,33.0,female,6.0,5.5,3.5,4.0,6.5,18,3.0
42313192227.0,22.0,male,7.0,7.0,7.0,4.0,1.0,18,4.0
42313193022.0,20.0,male,7.0,6.0,4.0,4.0,3.5,18,3.0
42313193807.0,24.0,male,5.0,6.0,3.0,3.5,2.0,18,1.0
42313212121.0,24.0,female,6.5,6.0,5.0,6.0,2.0,17,9.0
42313215958.0,67.0,female,4.0,7.0,7.0,7.0,1.0,18,2.0
42313220651.0,26.0,female,7.0,4.0,1.0,4.5,6.0,15,3.0
42313224432.0,44.0,female,5.0,6.0,3.5,7.0,2.0,16,4.0
42413072733.0,47.0,female,6.0,5.5,2.0,4.5,5.0,18,2.0
42413105019.0,31.0,male,3.5,4.0,2.5,6.0,2.5,17,7.0
42413105853.0,38.0,male,7.0,7.0,7.0,4.0,7.0,4,2.0
42413112141.0,19.0,female,7.0,5.5,4.0,5.0,4.0,18,4.0
42413152356.0,52.0,male,7.0,7.0,5.0,6.0,1.5,17,5.0
42413155832.0,22.0,female,4.0,6.0,4.5,4.0,4.0,17,7.0
42413202306.0,39.0,male,4.0,4.0,4.0,6.5,2.5,18,5.0
42413222326.0,23.0,female,7.0,5.0,3.0,6.5,4.0,17,3.0
42513091345.0,20.0,female,5.0,6.0,2.0,5.0,5.5,17,9.0
42513135718.0,19.0,male,3.5,4.0,5.0,4.0,4.0,17,7.0
42513205454.0,23.0,female,7.0,6.0,4.0,5.5,1.5,16,3.0
42613140355.0,31.0,female,5.0,6.5,3.5,7.0,2.5,17,9.0
42713062909.0,43.0,female,4.0,5.5,4.0,7.0,4.0,14,3.0
42713091308.0,45.0,female,7.0,6.5,5.5,7.0,1.0,18,10.0
42813221824.0,32.0,female,4.0,3.0,6.0,5.0,2.0,18,11.0
42913081642.0,22.0,male,5.0,5.0,4.0,6.0,2.0,15,5.0
42913085506.0,20.0,male,4.0,4.0,2.5,4.0,4.0,12,3.0
42913090138.0,20.0,female,5.5,6.0,3.5,4.5,3.0,16,7.0
42913092030.0,19.0,female,6.0,6.5,4.5,4.0,4.0,17,4.0
42913092115.0,24.0,male,5.0,4.5,5.5,4.0,5.0,12,5.0
42913094739.0,27.0,male,4.5,3.5,1.5,5.5,2.5,11,1.0
42913110849.0,24.0,female,4.5,5.0,1.5,4.0,3.0,18,3.0
42913111302.0,21.0,female,6.5,5.5,2.5,4.5,1.0,18,3.0
42913114210.0,30.0,female,6.0,7.0,4.5,6.0,1.0,15,7.0
42913121702.0,21.0,male,6.0,6.5,4.0,4.5,2.0,18,3.0
42913122448.0,26.0,female,6.0,3.0,4.5,2.5,4.0,15,8.0
42913125307.0,18.0,female,5.5,4.0,2.5,5.5,1.5,18,4.0
42913132147.0,19.0,female,6.5,6.0,3.5,5.0,4.5,10,0.0
42913135307.0,20.0,male,4.5,4.0,2.5,4.0,4.0,16,4.0
42913140443.0,24.0,male,6.0,5.0,3.5,2.0,6.0,18,4.0
42913152958.0,22.0,male,7.0,4.5,3.5,5.5,2.5,8,0.0
42913155149.0,20.0,female,4.0,7.0,1.0,6.5,1.0,18,3.0
42913172220.0,19.0,male,6.5,6.0,7.0,3.5,4.0,11,2.0
42913231741.0,19.0,male,5.5,6.5,5.0,5.5,2.0,12,5.0
43013004646.0,20.0,male,6.0,4.0,5.0,4.0,3.0,17,5.0
43013143548.0,19.0,male,4.5,7.0,5.0,4.0,2.0,9,4.0
50113033934.0,19.0,male,6.0,7.0,4.0,6.0,2.5,16,6.0
50113133731.0,20.0,female,5.5,6.5,3.0,6.0,2.5,18,4.0
50113195448.0,19.0,male,3.5,4.0,1.0,5.5,3.5,18,3.0
50313145323.0,20.0,male,5.0,6.0,3.5,4.5,3.0,17,3.0
50613064712.0,29.0,female,6.0,7.0,6.5,4.0,7.0,18,15.0
50713130407.0,20.0,female,4.0,7.0,7.0,3.5,3.0,18,10.0
50713130507.0,21.0,male,4.5,7.0,1.0,2.5,2.0,17,4.0
50713130834.0,19.0,female,4.0,7.0,7.0,4.5,3.5,17,5.0
50713130933.0,33.0,female,5.5,2.5,5.0,2.0,3.5,16,5.0
50713131313.0,20.0,female,6.0,6.0,5.5,6.5,2.0,16,5.0
50713131356.0,28.0,male,6.0,4.5,5.5,5.5,3.5,18,5.0
50713131701.0,20.0,male,6.0,2.5,6.5,4.5,1.0,18,5.0
50713131733.0,20.0,male,6.0,4.5,2.0,2.5,3.0,17,5.0
50713131914.0,21.0,female,5.5,5.0,5.0,4.5,2.0,18,6.0
50713133436.0,20.0,female,7.0,4.0,4.5,7.0,1.0,15,8.0
50713133516.0,21.0,female,3.5,4.5,7.0,4.5,3.5,15,5.0
50713134053.0,20.0,male,7.0,5.5,3.5,5.0,2.5,18,3.0
50713134333.0,21.0,male,6.0,4.0,6.0,6.0,1.5,18,5.0
50713134357.0,28.0,female,6.0,7.0,5.0,4.0,4.0,16,8.0
50713140808.0,29.0,male,5.0,1.0,1.0,3.5,6.5,3,1.0
50713141327.0,19.0,male,6.0,6.5,4.0,4.5,1.0,18,3.0
50713142703.0,20.0,male,6.5,6.0,2.0,3.5,2.0,16,4.0
50713145818.0,31.0,male,6.0,5.5,5.0,6.0,2.0,18,4.0
50713153119.0,24.0,female,6.5,5.5,4.0,5.5,2.0,16,12.0
50713153446.0,20.0,female,1.5,7.0,1.0,4.0,2.5,15,3.0
50713155450.0,22.0,female,3.0,5.0,4.5,6.0,5.0,18,3.0
50713161344.0,19.0,female,6.0,4.5,2.0,5.0,3.5,14,6.0
50713164154.0,25.0,male,4.0,4.5,3.0,4.0,4.0,16,14.0
50713164327.0,19.0,male,3.0,6.5,1.5,6.0,3.5,18,6.0
50713192815.0,19.0,female,6.0,6.0,6.0,7.0,1.0,16,6.0
50713194904.0,19.0,female,5.0,5.0,3.0,6.5,2.5,2,2.0
50713230343.0,23.0,male,4.0,1.5,5.0,4.5,5.0,13,4.0
50813085953.0,19.0,male,5.5,5.5,6.0,6.5,3.0,17,5.0
50813100846.0,48.0,female,5.0,4.0,1.5,3.5,6.0,17,4.0
50813121807.0,28.0,male,6.0,5.5,4.0,5.0,4.0,18,9.0
50813152024.0,21.0,female,4.0,6.5,3.5,3.5,3.0,2,0.0
50813152706.0,29.0,female,4.5,6.0,4.5,5.5,3.5,18,3.0
50913092135.0,34.0,female,6.0,6.5,4.0,5.0,4.0,17,5.0
50913092521.0,30.0,female,6.5,4.5,6.5,4.0,2.5,4,3.0
50913093346.0,21.0,male,4.5,5.5,3.5,5.5,2.5,18,2.0
50913095706.0,26.0,male,4.5,4.5,2.5,4.0,4.0,10,4.0
50913100358.0,47.0,female,4.0,6.0,4.0,5.5,2.0,17,0.0
50913121830.0,36.0,male,6.5,6.0,6.5,6.0,2.0,13,3.0
50913124144.0,31.0,male,3.5,5.0,4.5,4.5,3.5,10,4.0
50913135032.0,20.0,female,7.0,4.0,7.0,3.0,6.0,1,0.0
50913154718.0,21.0,male,4.5,3.0,1.5,6.0,3.5,11,3.0
50913162756.0,27.0,female,5.0,6.0,4.0,5.5,3.0,15,1.0
50913192145.0,21.0,male,7.0,7.0,7.0,5.5,1.0,16,8.0
51013115102.0,19.0,female,5.5,6.5,4.5,4.5,4.0,12,8.0
51013124647.0,25.0,female,5.5,5.0,4.5,4.5,3.5,11,3.0
51413093702.0,19.0,female,5.0,7.0,3.5,5.5,4.5,18,7.0
51413094107.0,20.0,male,5.0,6.5,5.5,4.0,4.5,15,2.0
51413094330.0,22.0,female,5.0,7.0,5.5,6.5,2.0,18,1.0
51413094543.0,21.0,male,6.5,6.0,7.0,4.0,4.5,1,0.0
51413094544.0,20.0,male,7.0,6.5,1.5,4.0,1.0,15,5.0
51413095426.0,19.0,male,5.0,5.0,3.0,5.5,2.0,15,13.0
51413095743.0,20.0,female,6.0,6.0,5.0,3.5,2.0,12,4.0
51413111518.0,19.0,male,5.5,6.5,1.5,6.5,1.0,17,6.0
51413111541.0,20.0,female,4.5,3.5,3.0,4.0,4.5,3,1.0
51413112013.0,20.0,male,4.5,4.5,4.5,3.5,4.5,13,3.0
51413114327.0,20.0,male,4.0,4.0,4.0,3.5,3.0,18,4.0
51413132621.0,25.0,female,7.0,6.0,2.0,4.0,2.5,12,2.0
51413142721.0,19.0,female,6.5,5.5,4.5,6.5,1.5,16,8.0
51613112505.0,20.0,female,5.0,4.0,3.5,3.5,3.5,9,4.0
51613165408.0,22.0,male,6.0,6.0,3.0,2.0,2.0,17,10.0
52413192936.0,44.0,female,7.0,7.0,7.0,6.5,1.0,17,1.0
52613200031.0,45.0,male,6.0,5.5,4.0,5.0,4.0,18,5.0
52813230150.0,38.0,female,6.5,6.5,6.5,6.5,2.0,15,2.0
53113185345.0,22.0,male,4.0,5.0,3.5,6.5,1.5,15,0.0
53113194735.0,31.0,female,6.5,6.0,2.5,5.5,3.5,13,3.0
53113201251.0,50.0,female,7.0,4.5,1.5,6.0,5.0,9,4.0
53113212628.0,23.0,female,4.5,6.0,4.0,4.5,5.5,18,3.0
53113223457.0,21.0,female,6.0,5.0,5.5,5.5,6.5,17,4.0
53113235011.0,29.0,male,7.0,7.0,7.0,5.0,2.5,16,3.0
60113070819.0,53.0,male,3.0,5.0,1.5,6.5,1.5,17,3.0
60113103108.0,38.0,male,4.5,7.0,4.0,5.0,2.0,17,0.0
60113104418.0,27.0,female,6.5,5.5,7.0,6.0,1.0,5,1.0
60113113638.0,46.0,male,5.5,4.0,5.0,5.0,3.5,13,6.0
60113134802.0,37.0,male,5.0,5.0,5.0,3.0,2.5,15,5.0
60113141926.0,22.0,female,6.5,7.0,2.5,3.0,2.5,18,8.0
60113142057.0,24.0,male,5.0,6.0,4.5,3.5,4.0,16,4.0
60113145020.0,40.0,female,6.0,5.0,6.5,5.5,3.5,17,1.0
60213092009.0,47.0,female,6.0,6.0,5.0,6.0,3.5,17,3.0
60213093900.0,22.0,female,6.5,6.5,4.0,4.5,4.0,13,4.0
60213124349.0,20.0,female,6.5,7.0,4.5,6.0,1.5,12,2.0
60213143336.0,58.0,female,7.0,7.0,7.0,7.0,1.5,8,3.0
60213154238.0,20.0,male,4.0,5.5,1.5,3.5,4.5,17,5.0
60213170222.0,27.0,female,7.0,4.0,5.5,7.0,1.0,12,6.0
60213184959.0,25.0,female,6.5,5.5,1.5,4.5,5.5,17,4.0
60213194707.0,47.0,female,5.0,7.0,7.0,7.0,3.0,14,1.0
60213200418.0,23.0,male,5.0,6.0,3.0,5.0,3.0,17,3.0
60213212600.0,22.0,female,4.0,7.0,6.0,5.5,6.0,16,3.0
60313004638.0,56.0,female,5.5,7.0,5.5,5.5,3.0,13,3.0
60313030050.0,32.0,male,6.0,5.0,5.0,4.5,5.0,2,0.0
60313062827.0,35.0,female,6.5,4.0,5.5,7.0,4.0,14,3.0
60313080102.0,26.0,female,6.5,6.5,4.5,6.0,1.5,14,1.0
60313081655.0,40.0,male,5.5,4.5,3.5,4.0,3.5,17,7.0
60313092301.0,28.0,female,4.0,4.0,6.5,6.5,1.0,17,4.0
60313095127.0,46.0,male,4.5,3.0,5.5,3.0,5.5,18,8.0
60313113133.0,25.0,female,3.5,6.0,2.5,4.0,4.5,17,2.0
60313120020.0,22.0,female,5.0,6.5,6.0,3.5,3.5,14,3.0
60313125802.0,25.0,female,4.5,6.0,4.5,5.5,4.5,17,4.0
60313130250.0,24.0,female,6.5,6.5,6.5,4.5,3.0,15,3.0
60313130326.0,28.0,female,7.0,6.5,7.0,5.5,1.0,2,1.0
60313134914.0,27.0,female,5.5,6.0,5.5,4.0,4.0,16,5.0
60313144142.0,28.0,male,4.0,4.0,4.0,4.0,4.0,18,1.0
60313145455.0,26.0,male,5.5,5.0,6.5,5.0,5.0,17,1.0
60313164002.0,30.0,male,6.5,6.5,3.0,6.5,4.0,5,4.0
60313172435.0,25.0,female,6.5,4.5,5.0,5.0,3.5,11,2.0
60313180145.0,21.0,female,4.0,6.5,3.5,5.5,4.5,17,6.0
60313181143.0,18.0,female,7.0,6.0,2.5,4.0,5.5,16,1.0
60413042737.0,31.0,female,5.0,5.0,5.5,4.5,3.0,14,9.0
60413071821.0,27.0,female,6.5,5.5,2.5,5.0,5.0,17,7.0
60413102533.0,38.0,female,5.0,4.5,2.0,5.5,3.5,16,5.0
60413133900.0,29.0,female,5.5,6.0,6.0,4.5,2.5,3,2.0
60413150753.0,51.0,female,6.0,6.5,6.0,6.0,1.5,15,5.0
60413203900.0,39.0,male,7.0,4.0,5.0,3.5,3.0,8,5.0
60413215847.0,27.0,female,6.5,6.5,4.5,5.5,3.0,2,1.0
60513130609.0,25.0,male,7.0,3.0,3.0,5.5,5.0,10,4.0
60513134041.0,23.0,female,5.0,4.5,4.5,2.5,3.0,2,1.0
60513144257.0,35.0,male,6.5,4.5,2.0,4.5,4.0,16,5.0
60513144744.0,28.0,male,7.0,6.5,4.5,6.0,2.5,5,2.0
60513203152.0,30.0,male,7.0,6.0,3.0,4.0,1.5,12,4.0
60613103514.0,30.0,female,6.5,7.0,4.0,6.0,2.0,2,2.0
60613132313.0,29.0,female,5.0,4.5,6.0,6.0,1.0,16,5.0
60613140636.0,24.0,male,6.0,6.5,1.5,7.0,1.5,12,8.0
60613204617.0,25.0,female,5.5,6.5,2.0,4.5,3.5,16,8.0
60613222535.0,19.0,female,4.5,4.5,4.0,3.5,5.5,17,6.0
60713094236.0,24.0,female,4.5,6.0,3.0,5.0,2.5,17,1.0
60713101020.0,25.0,male,5.0,4.5,4.0,4.0,5.0,17,7.0
60713104331.0,24.0,female,4.0,7.0,5.5,3.5,5.0,16,6.0
60713105619.0,34.0,female,6.0,7.0,6.5,4.5,3.0,12,7.0
60713110257.0,42.0,female,5.0,4.5,5.0,5.0,4.0,6,2.0
60713110759.0,25.0,male,6.0,6.5,7.0,7.0,3.5,11,10.0
60713111837.0,26.0,male,4.5,4.0,4.0,4.0,4.0,10,0.0
60713114818.0,31.0,female,6.5,6.5,1.5,5.5,1.5,13,0.0
60713120957.0,23.0,female,5.0,6.5,5.0,4.0,6.5,17,5.0
60713145053.0,25.0,female,4.0,6.5,4.0,6.0,2.5,14,0.0
60713152550.0,32.0,female,7.0,4.5,4.0,4.5,5.5,7,4.0
60713161409.0,46.0,male,7.0,7.0,7.0,4.0,1.0,17,4.0
60713170332.0,23.0,female,5.5,4.5,4.5,5.5,3.5,18,3.0
60713170938.0,21.0,female,5.0,6.5,5.5,6.0,4.5,9,3.0
60713171616.0,28.0,female,6.0,6.0,3.5,5.5,1.5,15,0.0
60713171630.0,25.0,female,6.0,5.0,3.5,3.5,2.0,3,1.0
60713172526.0,21.0,female,5.5,4.5,5.5,4.5,4.0,11,4.0
60713173136.0,33.0,female,4.5,6.0,3.5,5.5,4.0,8,3.0
60713174526.0,25.0,male,6.5,6.5,3.0,6.5,3.5,12,8.0
60713175024.0,35.0,female,6.0,3.5,3.0,5.0,4.0,10,3.0
60713180741.0,24.0,male,6.0,6.0,5.0,3.5,2.0,5,2.0
60713184020.0,38.0,female,4.5,6.0,2.0,5.5,2.5,15,3.0
60713184942.0,33.0,female,5.5,5.0,4.5,6.0,3.0,17,4.0
60713190247.0,47.0,female,7.0,6.5,6.0,7.0,1.0,11,9.0
60713195204.0,23.0,female,4.5,4.0,4.5,4.0,3.0,14,0.0
60713201056.0,37.0,female,2.5,3.0,6.5,4.5,4.0,11,4.0
60713202834.0,19.0,female,7.0,6.5,7.0,4.0,2.0,15,2.0
60713203319.0,27.0,female,4.5,3.5,4.0,6.5,2.0,15,6.0
60713204200.0,25.0,male,4.5,6.0,4.5,5.0,3.0,12,5.0
60713224017.0,18.0,female,6.5,7.0,3.5,6.0,3.5,15,8.0
60713230943.0,22.0,female,5.5,5.5,5.5,3.5,5.0,14,5.0
60713233416.0,47.0,female,7.0,5.0,3.5,6.0,1.5,12,4.0
60813073147.0,42.0,female,6.5,5.5,4.5,5.5,3.5,6,2.0
60813090352.0,24.0,female,5.5,5.0,4.0,5.0,3.0,15,2.0
60813100809.0,25.0,male,5.5,4.0,3.0,4.0,3.0,16,8.0
60813112740.0,24.0,female,4.0,5.0,3.5,2.0,3.0,17,9.0
60813115157.0,49.0,female,7.0,7.0,7.0,7.0,1.0,18,8.0
60813154152.0,22.0,male,5.5,6.5,4.0,5.5,2.0,14,7.0
60813185255.0,20.0,male,2.5,6.5,4.0,7.0,1.5,11,4.0
60813221846.0,21.0,female,5.5,7.0,6.0,5.0,2.0,18,5.0
60913073204.0,38.0,female,4.0,5.5,6.5,5.0,4.0,18,10.0
60913091326.0,19.0,male,5.5,4.0,6.0,4.0,5.5,17,8.0
60913091604.0,22.0,female,6.0,5.5,7.0,5.5,4.0,16,2.0
60913104107.0,23.0,male,6.5,5.0,1.5,5.0,5.0,17,4.0
60913131335.0,25.0,male,6.5,4.5,6.5,4.5,3.0,17,7.0
60913142820.0,22.0,female,5.0,5.5,2.5,6.5,3.0,18,0.0
60913150811.0,20.0,female,5.0,6.0,7.0,3.0,6.0,17,6.0
60913194301.0,20.0,female,6.5,4.5,6.5,1.5,6.5,6,3.0
60913220238.0,21.0,male,6.5,3.0,3.5,4.5,5.5,17,8.0
60913222121.0,33.0,female,6.5,6.5,6.0,4.5,2.5,16,2.0
61013002328.0,24.0,female,7.0,7.0,3.5,7.0,1.0,5,5.0
