Subject,age,sex,O,C,E,A,N,n_obs,n_futures
61013053116.0,24.0,female,6.0,5.0,3.5,5.5,5.5,18,6.0
61013060229.0,41.0,male,5.5,5.5,4.5,5.0,3.0,15,0.0
61013064008.0,32.0,female,6.0,2.0,1.0,4.0,2.0,15,10.0
61013065855.0,37.0,female,6.5,7.0,4.5,7.0,3.0,17,5.0
61013072140.0,33.0,female,4.5,5.5,5.5,6.5,1.0,16,3.0
61013072654.0,28.0,female,5.5,6.5,3.0,6.5,2.0,18,7.0
61013101948.0,21.0,female,5.0,5.5,5.5,6.5,3.0,10,8.0
61013104003.0,23.0,male,5.0,4.5,4.5,5.5,3.5,17,4.0
61013104209.0,22.0,female,5.5,6.0,2.5,6.5,3.5,17,3.0
61013114009.0,20.0,female,5.0,6.5,6.0,3.5,2.0,15,7.0
61013114054.0,22.0,female,6.5,5.5,2.5,6.0,5.5,17,5.0
61013121613.0,41.0,female,5.5,6.0,4.5,5.5,3.0,12,3.0
61013140038.0,39.0,female,7.0,7.0,5.5,4.5,4.0,17,7.0
61013150923.0,24.0,female,3.0,4.0,2.0,5.0,2.0,17,3.0
61013152159.0,22.0,female,7.0,6.5,4.5,6.0,1.5,17,7.0
61013152520.0,20.0,male,7.0,6.5,4.0,3.5,4.0,15,5.0
61013153153.0,26.0,female,5.0,6.0,3.0,6.0,4.0,14,3.0
61013160126.0,25.0,male,5.5,5.5,4.0,5.0,1.5,17,5.0
61013160318.0,28.0,male,6.0,3.5,4.0,5.0,2.0,16,4.0
61013172204.0,42.0,female,5.0,6.5,1.0,6.0,5.5,17,9.0
61013173022.0,25.0,female,5.0,6.0,4.5,6.0,1.5,2,2.0
61013175838.0,19.0,female,5.0,6.5,3.0,4.0,3.5,18,2.0
61013181400.0,30.0,female,5.5,6.0,5.5,7.0,2.5,16,5.0
61013184246.0,22.0,male,4.5,6.0,5.5,3.5,2.5,15,2.0
61013184704.0,25.0,female,6.0,7.0,5.5,4.5,1.5,6,1.0
61013185041.0,27.0,female,4.5,5.5,3.0,5.5,3.0,18,3.0
61013190829.0,29.0,female,5.0,4.5,5.0,6.0,3.0,18,1.0
61013194119.0,19.0,female,4.0,7.0,2.5,5.5,3.5,16,4.0
61013200405.0,31.0,female,6.0,7.0,4.0,4.0,7.0,12,4.0
61013210732.0,19.0,male,4.5,5.0,4.0,3.5,4.0,18,0.0
61013213424.0,19.0,male,4.0,4.5,6.0,2.5,2.0,6,1.0
61013215714.0,22.0,male,6.5,3.5,4.0,4.5,6.5,4,0.0
61013223609.0,38.0,male,4.0,6.5,3.5,5.5,2.0,18,7.0
61113011149.0,26.0,female,4.0,4.0,4.0,4.0,4.0,18,5.0
61113093118.0,29.0,male,7.0,4.5,4.0,4.0,6.0,14,6.0
61113174827.0,26.0,female,6.0,3.5,2.0,7.0,3.0,14,1.0
61113182919.0,25.0,male,5.0,5.5,2.5,3.5,5.0,8,1.0
61113191358.0,25.0,female,4.5,7.0,5.5,5.5,1.0,12,3.0
61113192537.0,27.0,female,4.0,4.0,4.5,3.5,4.5,11,1.0
61113213353.0,23.0,male,5.5,5.0,5.5,4.5,1.5,10,2.0
61213020512.0,30.0,female,6.0,5.0,4.0,6.5,3.0,3,0.0
61213085029.0,53.0,male,7.0,7.0,6.5,6.0,2.0,8,0.0
61213090129.0,37.0,female,5.0,7.0,2.0,6.0,3.5,17,7.0
61213090355.0,24.0,female,6.5,4.5,2.5,4.5,1.0,14,1.0
61213092224.0,29.0,female,6.0,5.5,1.5,4.0,4.0,17,4.0
61213093051.0,25.0,female,5.5,6.5,5.0,7.0,4.0,16,9.0
61213093222.0,22.0,female,6.0,6.5,4.0,6.5,1.5,18,6.0
61213093525.0,23.0,female,5.0,6.0,3.0,1.5,5.5,17,4.0
61213093956.0,24.0,male,5.0,3.5,2.5,5.0,1.5,5,3.0
61213095427.0,59.0,male,5.0,6.0,4.0,5.5,1.5,17,7.0
61213103344.0,21.0,female,4.5,6.5,4.5,3.5,3.0,13,2.0
61213104229.0,25.0,male,6.0,5.0,6.0,6.0,2.0,16,13.0
61213105843.0,19.0,male,4.0,3.5,2.0,5.0,3.0,16,8.0
61213110352.0,23.0,female,5.0,7.0,7.0,3.0,5.5,10,2.0
61213113621.0,20.0,male,4.5,3.5,2.5,2.5,6.5,16,0.0
61213113659.0,26.0,male,6.0,5.5,3.5,5.0,4.0,16,2.0
61213115215.0,20.0,female,5.5,5.0,2.0,6.0,5.5,15,6.0
61213115311.0,29.0,female,5.0,3.5,6.5,5.5,2.5,17,2.0
61213120340.0,23.0,female,6.5,3.0,6.0,4.0,3.5,13,2.0
61213123629.0,20.0,male,6.5,5.5,1.5,3.0,3.5,17,5.0
61213135153.0,23.0,female,6.0,7.0,4.0,5.0,5.5,11,5.0
61213140006.0,22.0,female,6.0,5.5,7.0,4.5,3.0,17,0.0
61213141101.0,35.0,male,6.0,5.0,3.0,4.5,2.5,17,7.0
61213154023.0,20.0,male,6.5,7.0,5.0,6.0,2.5,3,1.0
61213172801.0,20.0,male,4.0,4.0,2.5,5.0,2.0,15,2.0
61213180010.0,22.0,male,5.5,3.0,2.0,3.5,6.0,13,8.0
61213181033.0,21.0,female,4.5,5.5,6.0,4.0,6.0,18,3.0
61213185406.0,21.0,female,4.5,4.5,3.5,4.5,5.5,15,5.0
61213201441.0,21.0,female,5.0,7.0,2.5,2.0,5.5,18,3.0
61213211925.0,22.0,female,5.5,6.5,4.0,6.0,1.5,10,10.0
61213214441.0,33.0,male,4.5,5.5,1.5,5.0,5.0,18,6.0
61313012621.0,22.0,male,5.5,4.5,4.0,4.5,5.0,1,1.0
61313104407.0,23.0,male,5.0,5.0,4.5,3.5,3.5,7,5.0
61313224828.0,20.0,female,7.0,3.0,6.0,3.0,5.0,3,0.0
61413085327.0,21.0,female,4.5,6.0,6.0,5.5,6.0,1,1.0
61413085329.0,21.0,female,5.5,7.0,4.0,7.0,4.5,17,5.0
61413090148.0,23.0,female,5.5,5.0,5.5,5.5,3.5,17,4.0
61413090151.0,26.0,male,6.0,7.0,4.0,6.0,3.0,12,6.0
61413090231.0,36.0,female,5.0,6.0,5.5,5.0,2.0,18,3.0
61413090349.0,55.0,male,4.5,5.0,1.5,3.5,2.0,18,2.0
61413090947.0,24.0,female,4.5,5.0,3.0,5.0,5.0,17,4.0
61413091043.0,21.0,female,4.5,6.0,4.5,5.0,3.5,9,3.0
61413091642.0,54.0,female,6.5,6.0,3.0,6.5,3.0,16,3.0
61413091658.0,27.0,female,5.0,6.0,2.0,3.0,4.0,12,7.0
61413092147.0,22.0,male,6.0,4.0,2.5,5.5,2.0,14,4.0
61413094735.0,19.0,female,4.5,7.0,6.0,4.5,5.5,17,5.0
61413095011.0,60.0,female,6.5,5.5,2.5,5.5,2.5,4,3.0
61413100722.0,26.0,female,5.5,7.0,2.0,2.0,3.5,15,3.0
61413100824.0,39.0,male,6.0,5.0,2.0,4.5,1.5,16,3.0
61413101510.0,28.0,male,6.5,6.0,6.5,5.5,1.5,16,7.0
61413101540.0,24.0,female,7.0,4.0,5.0,5.5,3.5,14,5.0
61413102811.0,29.0,female,6.0,7.0,5.0,6.0,2.5,16,7.0
61413104316.0,20.0,male,3.0,4.5,6.0,3.5,2.0,13,1.0
61413104649.0,31.0,male,3.5,5.5,2.5,4.5,2.5,18,6.0
61413125333.0,23.0,female,6.5,7.0,1.5,4.0,4.0,15,2.0
61413142147.0,22.0,male,4.0,6.0,3.5,4.0,3.5,13,6.0
61413153105.0,33.0,female,5.5,5.5,6.0,4.5,2.0,8,2.0
61413163145.0,27.0,male,4.5,7.0,2.5,5.0,3.5,12,5.0
61413193648.0,21.0,female,6.5,6.0,6.0,7.0,4.0,16,7.0
61413203134.0,31.0,male,3.5,4.5,1.0,5.0,2.5,15,3.0
61513110618.0,24.0,male,5.5,4.5,4.0,6.5,4.0,7,4.0
61613092052.0,19.0,female,6.5,4.5,7.0,4.5,1.5,16,6.0
61613163712.0,20.0,female,5.0,5.5,2.0,5.0,3.5,9,0.0
61613180808.0,25.0,male,6.0,6.0,4.5,6.0,3.0,10,3.0
61713174852.0,55.0,female,7.0,7.0,2.0,5.0,1.5,15,3.0
61813203412.0,27.0,female,7.0,6.0,4.0,5.0,3.0,7,2.0
61913120330.0,35.0,male,4.0,5.0,2.5,4.5,1.5,18,6.0
61913123405.0,33.0,female,5.0,5.0,5.0,5.0,4.0,17,0.0
61913125110.0,29.0,female,7.0,7.0,4.0,4.0,1.0,17,4.0
61913130015.0,27.0,male,7.0,4.0,5.0,4.5,4.0,16,5.0
61913130030.0,30.0,female,5.5,5.5,3.0,4.0,4.5,18,6.0
61913132710.0,30.0,male,6.5,6.5,5.0,6.5,1.5,18,7.0
61913132737.0,25.0,male,5.5,6.0,2.5,5.5,2.5,15,7.0
61913132904.0,22.0,male,4.5,5.5,6.0,3.5,3.0,2,0.0
61913132925.0,22.0,female,6.5,7.0,3.0,5.5,4.5,15,3.0
61913142207.0,47.0,male,5.5,6.5,5.5,4.0,3.5,12,1.0
61913170438.0,35.0,female,6.5,7.0,4.5,5.0,4.0,15,0.0
61913172231.0,21.0,female,3.5,4.0,4.0,4.0,5.0,18,6.0
61913174338.0,56.0,female,6.5,4.0,1.0,4.5,3.5,16,7.0
61913181607.0,26.0,male,3.5,4.0,5.0,5.5,1.0,12,4.0
61913185227.0,52.0,female,6.0,6.5,4.0,7.0,2.5,17,5.0
61913210205.0,27.0,male,5.0,5.5,3.5,5.5,3.5,10,2.0
61913231609.0,36.0,male,6.0,5.5,1.5,2.0,2.0,17,6.0
62013015418.0,41.0,female,7.0,5.5,4.0,7.0,1.5,12,2.0
62013104005.0,24.0,male,6.0,3.5,5.5,4.0,4.5,7,2.0
62013131924.0,34.0,female,6.0,4.5,5.5,4.0,6.0,4,0.0
62013141843.0,52.0,female,5.0,6.5,5.0,4.5,2.0,16,4.0
62013172418.0,28.0,female,5.5,3.5,2.0,3.0,4.0,18,10.0
62013190552.0,51.0,male,4.0,4.5,2.5,4.5,3.5,15,0.0
62013191917.0,23.0,female,5.0,5.0,3.5,4.5,2.0,18,4.0
62113004823.0,36.0,male,6.5,2.5,6.0,4.5,6.5,18,14.0
62113051342.0,27.0,female,7.0,6.5,6.5,6.5,2.0,14,3.0
62213084955.0,33.0,female,5.0,5.0,3.0,5.5,5.5,18,0.0
62313134046.0,23.0,female,7.0,7.0,5.0,4.0,4.5,6,1.0
62413015632.0,25.0,female,5.0,5.0,5.0,5.5,2.5,12,1.0
62513143749.0,26.0,female,4.0,5.0,2.5,4.5,6.0,15,7.0
62513233442.0,21.0,female,6.5,6.5,4.0,3.0,6.5,5,0.0
62713115455.0,25.0,male,5.5,2.5,6.0,4.5,5.5,13,1.0
62713121050.0,25.0,female,6.5,5.5,6.0,5.5,2.5,2,1.0
62713124736.0,27.0,female,5.5,5.0,6.0,6.0,4.5,17,2.0
62713125952.0,25.0,male,6.5,3.5,2.0,6.5,4.0,8,4.0
62713133534.0,31.0,male,6.5,7.0,4.5,5.5,3.5,18,9.0
62713135718.0,36.0,female,6.0,4.5,4.0,6.0,2.5,2,0.0
62713144612.0,57.0,female,6.0,4.5,2.0,6.0,3.5,17,2.0
62713150034.0,24.0,female,5.0,6.5,3.5,6.5,4.0,18,0.0
62713151116.0,50.0,male,6.0,4.5,5.5,5.0,2.5,15,7.0
62713161135.0,20.0,female,6.0,4.5,4.5,4.0,4.0,3,0.0
62713163211.0,23.0,male,5.0,6.0,6.5,5.0,2.0,7,2.0
62713173040.0,27.0,female,6.5,5.0,3.5,5.5,3.5,8,3.0
62713174144.0,33.0,female,5.5,4.5,2.5,7.0,2.5,18,1.0
62713181516.0,31.0,female,5.0,6.0,3.0,5.5,4.0,17,7.0
62713184212.0,33.0,female,4.0,5.0,4.0,6.0,4.0,18,12.0
62713192615.0,31.0,female,3.5,6.0,1.5,4.5,5.5,17,5.0
62713203825.0,34.0,male,4.5,3.0,2.0,6.0,5.5,6,2.0
62713222616.0,23.0,female,6.5,6.5,4.0,4.0,2.0,16,4.0
62713224047.0,27.0,female,7.0,5.0,3.5,5.5,3.5,4,1.0
62713231443.0,37.0,male,4.5,4.5,2.5,4.0,4.5,11,2.0
62713235442.0,21.0,female,6.0,5.5,6.0,4.5,3.5,11,1.0
62813000440.0,33.0,female,6.5,5.5,5.0,5.0,4.5,18,8.0
62813033801.0,43.0,female,6.5,4.0,3.5,6.0,3.5,18,4.0
62813083037.0,32.0,female,4.0,6.0,1.0,4.0,7.0,16,3.0
62813090954.0,29.0,female,4.0,4.0,4.0,4.0,4.0,1,0.0
62813173947.0,65.0,male,6.0,5.5,5.0,6.5,4.5,18,5.0
62813195747.0,41.0,female,5.5,7.0,5.0,3.5,4.0,18,6.0
62813202904.0,27.0,female,5.5,5.5,5.0,3.5,5.5,17,6.0
62913084656.0,30.0,female,5.5,7.0,4.0,5.0,3.5,15,5.0
62913141650.0,28.0,female,3.5,4.0,4.5,6.5,4.0,8,0.0
62913145013.0,18.0,female,6.5,6.5,2.0,6.5,3.5,15,4.0
63013213338.0,36.0,female,6.0,6.5,6.0,6.5,2.0,13,2.0
70113111418.0,35.0,female,5.0,7.0,4.0,5.5,1.0,17,9.0
70113120821.0,41.0,female,6.5,5.5,6.5,5.0,3.5,17,5.0
70113133600.0,45.0,male,7.0,7.0,4.0,5.5,3.5,18,2.0
70113145846.0,27.0,male,6.5,5.0,4.5,5.5,2.0,18,12.0
70213132537.0,32.0,male,5.5,7.0,3.0,7.0,1.0,13,4.0
70213132844.0,24.0,female,5.5,5.5,6.5,5.0,4.0,6,3.0
70213152819.0,26.0,female,5.5,6.5,7.0,6.5,3.0,15,0.0
70213205039.0,32.0,male,5.5,7.0,4.5,4.0,4.5,1,1.0
70413000202.0,24.0,male,5.5,7.0,2.5,5.5,3.5,8,3.0
70413150413.0,52.0,male,6.5,5.0,5.5,5.5,2.0,12,3.0
70413173254.0,34.0,male,4.5,5.5,2.5,3.5,4.5,18,6.0
70513151200.0,29.0,female,7.0,5.0,4.5,4.5,6.0,16,5.0
70513171256.0,31.0,female,7.0,6.5,4.0,7.0,2.0,12,2.0
70513173531.0,35.0,female,5.0,3.5,7.0,5.5,4.5,5,1.0
70513184814.0,47.0,female,3.0,6.5,7.0,5.5,3.0,16,6.0
70513192524.0,30.0,male,6.0,5.0,2.5,2.0,6.0,16,5.0
70513193022.0,32.0,female,3.5,7.0,2.0,5.0,5.0,18,3.0
70513204506.0,31.0,female,7.0,7.0,7.0,7.0,1.0,13,11.0
70613014837.0,41.0,male,5.0,7.0,4.0,7.0,1.0,1,0.0
70613140948.0,27.0,female,7.0,7.0,7.0,5.5,2.5,14,2.0
70613183631.0,33.0,female,5.5,7.0,3.5,5.0,4.5,17,4.0
70613212118.0,27.0,female,5.0,5.0,2.0,5.5,3.0,18,4.0
70713133505.0,24.0,male,7.0,6.5,5.5,6.0,1.0,9,2.0
70713163624.0,31.0,female,5.0,5.0,3.0,3.0,5.0,16,5.0
70813063434.0,28.0,female,5.0,5.0,4.0,6.0,3.0,14,5.0
70813082011.0,26.0,female,3.5,4.5,3.0,4.0,5.5,12,3.0
70813094340.0,28.0,female,5.5,3.5,4.5,5.0,3.5,14,5.0
70813101836.0,36.0,female,6.5,6.5,7.0,5.5,2.0,14,1.0
70813163713.0,20.0,female,7.0,3.0,2.0,4.0,6.5,3,1.0
70813180441.0,49.0,female,4.5,7.0,3.5,4.5,2.5,16,9.0
70813182226.0,40.0,female,5.0,6.0,4.0,5.5,3.5,15,2.0
70813212233.0,25.0,female,5.0,6.0,3.5,6.5,3.5,16,4.0
70813212955.0,60.0,male,7.0,6.0,5.5,5.0,3.5,15,3.0
70813213321.0,40.0,female,5.5,4.0,5.5,6.0,3.5,15,5.0
70813232330.0,21.0,female,7.0,7.0,3.5,6.5,1.5,1,1.0
70913071633.0,33.0,female,4.0,5.5,5.0,4.0,5.0,16,6.0
70913112132.0,22.0,female,6.5,6.0,3.5,5.5,4.0,16,3.0
70913122324.0,36.0,female,6.0,5.0,1.5,7.0,4.0,8,2.0
70913144331.0,25.0,male,7.0,6.5,7.0,4.0,1.5,12,3.0
70913153130.0,39.0,female,5.5,5.5,6.0,4.0,2.0,13,3.0
70913193132.0,31.0,male,6.5,4.0,1.5,5.5,3.0,5,1.0
70913193734.0,42.0,male,6.0,6.5,4.0,6.5,2.0,18,7.0
70913205958.0,31.0,female,6.0,5.5,4.0,2.0,4.0,6,0.0
70913223948.0,30.0,female,6.5,5.5,4.5,4.5,2.5,9,1.0
70913231238.0,45.0,female,5.0,7.0,3.0,4.5,4.5,15,1.0
71013002838.0,23.0,female,6.0,6.0,2.5,6.5,2.0,13,6.0
71013073954.0,53.0,female,4.5,3.5,3.0,4.0,7.0,16,9.0
71013093242.0,32.0,female,5.0,6.0,1.0,7.0,5.0,11,5.0
71013174253.0,42.0,male,4.0,5.5,4.0,5.5,2.5,15,0.0
71013191158.0,40.0,female,5.0,5.5,5.0,4.5,2.5,11,2.0
71113144758.0,33.0,female,6.0,4.5,6.0,4.5,4.0,1,1.0
71213000806.0,25.0,female,3.5,4.5,5.5,5.0,4.0,18,3.0
71213183335.0,54.0,female,5.0,4.0,4.5,5.5,2.0,2,0.0
71313001114.0,36.0,female,7.0,6.0,4.0,5.0,3.0,16,5.0
71313222311.0,18.0,female,5.0,6.5,4.5,4.0,6.0,1,1.0
71513192032.0,23.0,female,5.0,3.5,6.0,5.0,2.5,14,3.0
71513235426.0,43.0,female,5.0,6.5,3.5,6.0,3.5,17,8.0
71613001324.0,35.0,female,6.5,2.5,2.5,6.5,1.5,15,4.0
71613131938.0,21.0,female,4.5,3.0,4.0,2.0,2.0,17,5.0
71613144158.0,24.0,female,6.5,7.0,7.0,5.5,4.0,16,9.0
71613175957.0,30.0,female,5.5,5.0,2.0,6.5,5.0,16,5.0
71613191535.0,28.0,female,4.5,6.5,4.0,4.0,1.5,17,6.0
71613204536.0,20.0,male,6.0,3.0,6.0,6.0,2.0,15,6.0
71613222058.0,25.0,male,4.5,4.0,4.0,3.5,4.0,15,1.0
71713125522.0,26.0,male,6.5,6.5,5.5,4.0,1.5,14,0.0
71713125833.0,26.0,female,5.0,6.0,2.0,6.0,2.5,17,0.0
71713140336.0,20.0,female,6.0,4.5,2.0,5.0,5.0,17,1.0
71913053159.0,20.0,female,6.5,4.5,6.5,3.0,4.0,17,3.0
71913103953.0,43.0,male,7.0,6.0,4.5,5.5,2.5,17,4.0
72013055111.0,22.0,female,7.0,6.0,6.0,4.0,3.5,18,6.0
